title,url,price,primary_image_url,retailer_sku_code,currency,crawl_time,current_price,categories
Strontium NITRO 566X SDXC Card ,http://www.expansys.com.sg/strontium-nitro-sdxc-card-64gb-85mb-s-class-10-uhs-i-282120/,45.40,http://i1.expansys.com/img/b/282120/strontium-nitro-sdxc-card.jpg,282120,SG$,2016-04-18 14:43:05,30.99,
Strontium NITRO 466X SDHC Card ,http://www.expansys.com.sg/strontium-nitro-sdhc-card-32gb-70mb-s-class-10-uhs-i-282119/,25.34,http://i2.expansys.com/img/b/282119/strontium-nitro-sdhc-card.jpg,282119,SG$,2016-04-18 14:43:09,15.99,
Strontium NITRO 433X SDHC Card ,http://www.expansys.com.sg/strontium-nitro-sdhc-card-16gb-65mb-s-class-10-uhs-i-282118/,16.23,http://i2.expansys.com/img/b/282118/strontium-nitro-sdhc-card.jpg,282118,SG$,2016-04-18 14:43:13,9.99,
Strontium NITRO 466X MicroSDHC Card ,http://www.expansys.com.sg/strontium-nitro-microsdhc-card-32gb-70mb-s-class-10-uhs-i-282111/,23.52,http://i1.expansys.com/img/b/282111/strontium-nitro-microsdhc-card.jpg,282111,SG$,2016-04-18 14:43:17,15.99,"Mobile Phones,Phone Accessories,Memory & Storage"
Strontium MicroSDHC Card with Adapter ,http://www.expansys.com.sg/strontium-microsdhc-card-with-adapter-32gb-class-10-282108/,109.00,http://i2.expansys.com/img/b/282108/strontium-microsdhc-card-with-adapter.jpg,282108,SG$,2016-04-18 14:43:19,13.99,"Mobile Phones,Phone Accessories,Memory & Storage"
innerexile Zamothrace Z-design smart case for Apple iPad Air ,http://www.expansys.com.sg/innerexile-zamothrace-z-design-smart-case-for-apple-ipad-air-white-266730/,75.37,http://i1.expansys.com/img/b/266730/innerexile-zamothrace-z-design-smart-case-for-apple-ipad-air.jpg,266730,SG$,2016-04-18 14:43:24,47.51,"Tablet PCs & iPads,Tablet Accessories,Cases"
innerexile Zamothrace Z-design smart case for Apple iPad Air ,http://www.expansys.com.sg/innerexile-zamothrace-z-design-smart-case-for-apple-ipad-air-black-266729/,75.37,http://i2.expansys.com/img/b/266729/innerexile-zamothrace-z-design-smart-case-for-apple-ipad-air.jpg,266729,SG$,2016-04-18 14:43:27,47.51,"Tablet PCs & iPads,Tablet Accessories,Cases"
AT Screen Guard  for HTC One A9 ,http://www.expansys.com.sg/at-screen-guard-for-htc-one-a9-anti-fingerprint-crystal-clear-286711/,13.99,http://i1.expansys.com/img/b/286711/at-screen-guard-for-htc-one-a9.jpg,286711,SG$,2016-04-18 14:43:33,13.99,"Mobile Phones,Phone Accessories,Screen Protectors & Cleaning"
TEKTOS Qualcomm Quick Charge 2.0 USB Power Adapter ,http://www.expansys.com.sg/tektos-qualcomm-quick-charge-20-usb-power-adapter-black-uk-plug-286703/,34.99,http://i1.expansys.com/img/b/286703/tektos-qualcomm-quick-charge-20-usb-power-adapter.jpg,286703,SG$,2016-04-18 14:43:37,34.99,"Mobile Phones,Phone Accessories,Power – AC Adaptors"
AT Screen Guard for LG V10 ,http://www.expansys.com.sg/at-screen-guard-for-lg-v10-anti-fingerprint-crystal-clear-285625/,13.99,http://i2.expansys.com/img/b/285625/at-screen-guard-for-lg-v10.jpg,285625,SG$,2016-04-18 14:43:41,13.99,"Mobile Phones,Phone Accessories,Screen Protectors & Cleaning"
BlackBerry PRIV Leather Smart Flip Case ,http://www.expansys.com.sg/blackberry-priv-leather-smart-flip-case-black-285348/,86.99,http://i2.expansys.com/img/b/285348/blackberry-priv-leather-smart-flip-case.jpg,285348,SG$,2016-04-18 14:43:44,86.99,"Mobile Phones,Phone Accessories,Cases & Covers"
Motorola Flip Case for Motorola Moto X Play ,http://www.expansys.com.sg/motorola-flip-case-for-motorola-moto-x-play-black-285325/,61.26,http://i2.expansys.com/img/b/285325/motorola-flip-case-for-motorola-moto-x-play.jpg,285325,SG$,2016-04-18 14:43:48,61.26,"Mobile Phones,Phone Accessories,Cases & Covers"
22 Cases Screen Protector for Sony Xperia Z5 Compact ,http://www.expansys.com.sg/22-cases-screen-protector-for-sony-xperia-z5-compact-tempered-glass-285266/,17.99,http://i2.expansys.com/img/b/285266/22-cases-screen-protector-for-sony-xperia-z5-compact.jpg,285266,SG$,2016-04-18 14:43:51,17.99,"Mobile Phones,Phone Accessories,Screen Protectors & Cleaning"
Sony Smart Style-Up Cover SCR46  for Xperia Z5 Premium ,http://www.expansys.com.sg/sony-smart-style-up-cover-scr46-for-xperia-z5-premium-white-283961/,67.99,http://i1.expansys.com/img/b/283961/sony-smart-style-up-cover-scr46-for-xperia-z5-premium.jpg,283961,SG$,2016-04-18 14:43:56,67.99,"Mobile Phones,Phone Accessories,Cases & Covers"
Krusell Nybro Glass Protector for Xperia Z5 Premium/Dual ,http://www.expansys.com.sg/krusell-nybro-glass-protector-for-xperia-z5-premium-transparent-282437/,38.28,http://i2.expansys.com/img/b/282437/krusell-nybro-glass-protector-for-xperia-z5-premium.jpg,282437,SG$,2016-04-18 14:43:59,38.28,"Mobile Phones,Phone Accessories,Cases & Covers"
